** CONVERTED FROM /Users/nuhajabakhanji/Dropbox/SR Research PTB Demos/pursuit/DEMO.edf using edfapi 3.0 MacOS X Sep 19 2007 on Mon May  9 08:19:15 2011
** DATE: Mon May  9 08:18:51 2011
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.56 Aug 18 2010
** CAMERA: EyeLink CL Version 1.4 Sensor=BI9
** SERIAL NUMBER: CL1-77T66
** CAMERA_CONFIG: 77T66140.SCD
** Recorded by EyelinkToolbox demo-experiment
**

MSG	1975645 DISPLAY_COORDS 0 0 1568 945
INPUT	2027351	120
MSG	2027371 TRIALID 1
INPUT	2027372	120
INPUT	2027631	120
MSG	2029751 DRIFTCORRECT R REPEATING due to large error
MSG	2030453 DRIFTCORRECT R RIGHT at 262,473  OFFSET 3489926.25 deg.  99999696.0,99999528.0 pix.
INPUT	2030832	120
MSG	2030886 RECCFG CR 1000 2 1 R
MSG	2030886 ELCLCFG MTABLER
MSG	2030886 GAZE_COORDS 0.00 0.00 1568.00 945.00
MSG	2030886 THRESHOLDS R 110 226
MSG	2030886 ELCL_PROC CENTROID (3)
MSG	2030886 ELCL_PCR_PARAM 5 3.0
START	2030887 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
MSG	2030887 !MODE RECORD CR 1000 2 1 R
INPUT	2030887	120
2031141	  745.1	  471.5	 1000.0	...
2031142	  745.1	  471.5	 1000.0	...
2031143	  745.1	  471.5	 1000.0	...
2031144	  745.1	  471.5	 1000.0	...
2031145	  745.1	  471.5	 1000.0	...
2031146	  745.1	  471.5	 1000.0	...
2031147	  745.1	  471.5	 1000.0	...
2031148	  745.1	  471.5	 1000.0	...
2031149	  745.1	  471.5	 1000.0	...
2031150	  745.1	  471.5	 1000.0	...
2031151	  745.1	  471.5	 1000.0	...
2031152	  745.1	  471.5	 1000.0	...
2031153	  745.1	  471.5	 1000.0	...
MSG	2031154 SYNCTIME
MSG	2031154 !V TARGET_POS TARG1 (269, 473) 1 0
2031154	  745.1	  471.5	 1000.0	...
2031155	  745.1	  471.5	 1000.0	...
2031156	  745.1	  471.5	 1000.0	...
2031157	  745.1	  471.5	 1000.0	...
2031158	  745.1	  471.5	 1000.0	...
2031159	  745.1	  471.5	 1000.0	...
2031160	  745.1	  471.5	 1000.0	...
2031161	  745.1	  471.5	 1000.0	...
2031162	  745.1	  471.5	 1000.0	...
2031163	  745.1	  471.5	 1000.0	...
2031164	  745.1	  471.5	 1000.0	...
2031165	  745.1	  471.5	 1000.0	...
2031166	  745.1	  471.5	 1000.0	...
2031167	  745.1	  471.5	 1000.0	...
2031168	  745.1	  471.5	 1000.0	...
2031169	  745.1	  471.5	 1000.0	...
2031170	  745.1	  471.5	 1000.0	...
2031171	  745.1	  471.5	 1000.0	...
MSG	2031172 SYNCTIME
MSG	2031172 !V TARGET_POS TARG1 (271, 473) 1 0
2031172	  745.1	  471.5	 1000.0	...
